name,category,district,latitude,longitude
Plaza VADS,work,WP Kuala Lumpur,3.1395885006936446,101.63027481494238
KFC,food_drink,WP Kuala Lumpur,3.142164904980428,101.62529085077892
Jade Terrace Bandar Puncak Utama,residential,Hulu Langat,2.996492054587244,101.74825572336748
Petronas,transport,WP Kuala Lumpur,3.0966498430163014,101.73819084346758
Kampung Desa Aman,residential,Gombak,3.2051193782089062,101.59598820678214
Wisma Transit Kuala Lumpur,work,WP Kuala Lumpur,3.1719375315476253,101.72950353988674
Prima Ville,residential,Gombak,3.323727439218465,101.59388268701244
Taman Kanching,residential,Gombak,3.3008603895284567,101.59303090758434
Taman Mawar,residential,Gombak,3.2989484182081563,101.5924482782513
Damansara Damai,residential,Petaling,3.193490630019805,101.59202376272664
Dataran Sunway Kota Damansara,work,Petaling,3.1516830035324013,101.59329887138108
Petron,transport,Hulu Langat,3.0703508546264806,101.78098659785849
Shell,transport,Petaling,3.099760643467271,101.59012379174648
Petronas,transport,Petaling,3.100331922206941,101.59033359969446
Shell,transport,Hulu Langat,2.974929139250079,101.75063452498289
Syarikat Perniagaan Onn Yik,other,WP Kuala Lumpur,3.0878869896054244,101.7019029885626
Aurora Place,shopping,WP Kuala Lumpur,3.053511016239182,101.66946926866169
Tasik Residency,residential,Sepang,2.963936304096164,101.59364390394674
Sri Aman Heights,residential,Gombak,3.212218726178598,101.59527207507122
Ampang Point,shopping,Hulu Langat,3.1584300670524263,101.7509437003294
Shell,transport,Gombak,3.234327650968256,101.72346626132853
Shell,transport,WP Kuala Lumpur,3.2060927340847067,101.68913501921728
Petron,transport,Gombak,3.220571636814085,101.62395761402988
Petronas,transport,Gombak,3.1724407117245828,101.73453230048096
Petronas,transport,Hulu Langat,3.0110599618532987,101.77477579890108
Shell,transport,Petaling,3.1891689500095057,101.6162878500001
Petronas,transport,WP Kuala Lumpur,3.1420704712563943,101.62560217679192
Petron,transport,WP Kuala Lumpur,3.0962793249930725,101.7383395106701
Shell,transport,WP Kuala Lumpur,3.067056050276598,101.6535733782292
IOI Mall Damansara,shopping,Petaling,3.148743039851205,101.59488805484712
Kashkha,shopping,WP Kuala Lumpur,3.14148451745393,101.62756820072448
FamilyMart,shopping,WP Kuala Lumpur,3.141552621974,101.62776226638395
Belian,shopping,Sepang,2.8377018196649244,101.72611255765308
Belian,shopping,Sepang,2.8385832770780643,101.72612762513462
Belian,shopping,Sepang,2.8391855000361983,101.72583505
Belian,shopping,Sepang,2.839377400004385,101.72611275000004
Belian,shopping,Sepang,2.839647546269548,101.72597700803271
Pangsapuri Sinar Salak Perdana,residential,Sepang,2.840777606540972,101.72293435382434
Pangsapuri Sinar Salak Perdana,residential,Sepang,2.8407988884930053,101.72269396001806
Sentosa Heights,residential,Hulu Langat,2.997001267192678,101.79360894399144
Aristo Sports Arena,exercise,Hulu Langat,2.9976079641481874,101.79183517539248
Padang MPKj @ Jalan Timur,exercise,Hulu Langat,2.9973764061278576,101.79112080646212
Taman Saga Emas,residential,Hulu Langat,2.997545514883738,101.79972783256304
Almaspuri,residential,WP Kuala Lumpur,3.169696862026861,101.65210264585758
Belian,shopping,Sepang,2.8387246948440006,101.72598368328968
Geohan,other,WP Kuala Lumpur,3.1419112054108216,101.62945428430872
